Name,Country,Price,Review_Rating
Happy People Plaza España Suite 2/4 People,Spain,3000,9
Room in the center of Barcelona,Spain,2000,9
Lujoso apartamento ideal familias (8 pax),Spain,1240,9
51 Sicilia Apartment 2 bedrooms,Spain,999,8
Ático exclusivo Barcelona,Spain,805,9
1405 - LUXURY BEACH TERRACE APARTME,Spain,750,9
Casa Batlló views! Central apartment¦,Spain,705,9
2714 - AB Girona Apartment 41 - Stylish Apartment for up to 7 guests in Eixample with a Balcony,Spain,700,8
2675 - AB Bailen Apartment 3.1 - Modern 2-bedroom Apartment in Eixample with a balcony,Spain,600,8
Olympic Port apartments,Spain,600,9
"Spacious, bright, central. AC. Rambla Catalunya",Spain,599,10
"Stylish, central, bright, AC, Rambla Catalunya!",Spain,599,9
Autèntic Monumental 32,Spain,550,10
2447 - AB Park Güell Apartment 1-1 - Elegant 4-Bedroom Apartment near Park Güell with a Balcony,Spain,550,9
Luminous for 6 apt @ Rnda Sant Pau ¦,Spain,527,9
2294 - AB Aragó Apartment 2-C - Central Apartment with a Communal Terrace in Eixample,Spain,500,8
"2427 - AB Plaça Catalunya 3-4 - Luxury 2-Bedroom Apartment, Steps from Plaça de Catalunya",Spain,500,8
Gran Via De Luxe 5* DaysinBarcelona,Spain,494,9
1921 - AB Paral·lel Apartment A - Contemporary Penthouse with a Private Terrace,Spain,470,8
2295 - AB Aragó Apartment2-D - Sleek Apartment with a Communal Terrace in Eixample,Spain,450,9
Casanova Eixample 4 bedrooms apartment,Spain,420,9
MAR 402 Tres habitaciones junto a la Playa,Spain,400,9
Quality in the town of the city,Spain,400,10
2458 - AB Park Güell Apartment 4-3 - Wonderful 3-Bedroom Apartment near Park Güell with a Balcony,Spain,350,8
"In front of the sea, terrace close Congress center",Spain,330,8
Nuevo espacioso apartamento en BCN,Spain,320,8
Eliseos Luxury Apartment HUTB-001281,Spain,300,9
Barcelona - Urquinaona,Spain,300,9
Happy people Ramblas Harbour 3 bedrooms appartment for 3 people,Spain,300,9
2 BedRooms Apartment with Terrace #1,Spain,300,8
Sagrada Familia area for 12 people,Spain,300,9
"Executive cataluña 6 , 5 bedrooms",Spain,300,9
Vela Luxury Apartment HUTB-001280,Spain,295,9
Grace 1 - Habitat Apartments,Spain,292,9
Superior Apartment Passeig de Gracia with Views,Spain,290,9
Modernist apartment principal,Spain,268,8
Penthouse 3 bedrooms apartment B376,Spain,262,10
Allotja't en un elegant i lluminós pis modernista al costat de Passeig de Gràcia,Spain,255,10
Double Bedroom and amazing rooftop-Sagrada Familia,Spain,250,8
Loft Duplex Barcelona,Spain,250,9
Happy People Plaza España - 4 bedroom (3),Spain,250,9
The Central Place VI,Spain,242,10
White House,Spain,230,9
Grande I Apartment on Valencia St.,Spain,222,9
Appartement de 125m2 lumineux et calme,Spain,220,9
One Bedroom Apartment (4pers) near Sagrada Familia,Spain,219,10
Tapioles Triplex Apartment,Spain,209,8
Family Apartment with Balcony in Gracia - 1821,Spain,200,9
"Luxurious, bright, spacious Plaza Catalunya",Spain,200,9
A Private Room for 4 People,Spain,200,9
Big 4 Bedroom~,Spain,200,9
2 Luxury bedroom apartment,Spain,200,9
Spacious apartment just by Las Ramblas,Spain,200,10
MODERN APART. IN THE CENTER - 3 BEDROOM- BLANCA,Spain,200,9
Renovated Modern Apartment with Cathedral Views,Spain,199,9
Modern One Bedroom Apartment in Eixample Area B142,Spain,197,9
ONE BEDROOM DIAGONAL,Spain,195,8
"Terrace, sea view at Diagonal Mar!",Spain,190,10
Rambutan - Only 8min. walking from Paseo de Gracia,Spain,188,9
Awesome apartment & amazing terrace! HUTB-012684,Spain,180,9
Amazing vintage art Work space in old city center,Spain,180,9
Apartment Eduardo,Spain,180,9
Spectacular Modern Uptown Duplex,Spain,175,10
UD Rambla Suites  Pool 27 (2 BR),Spain,175,9
Top Duplex at Barcelona Beach,Spain,175,9
Grand apartment Sagrada Familia,Spain,169,9
Piso muy grande con 6 habitaciones en el centro,Spain,168,9
"Caliu, Friendly Rentals",Spain,165,9
ON Passeig de Gràcia LUXURY 2BR TERRACE&concierge,Spain,160,9
Casa Cosi - Gotico,Spain,160,8
Bright and comfortable 1 bedroom apartment,Spain,159,9
Two bedroom apartment,Spain,155,10
Pulitzer Extra- Read all about our experiences!,Spain,150,9
"Loft in Arc de Triomf Barcelona with terrace, pool",Spain,150,9
Tanger Jazz Pool and Beach,Spain,150,9
Luminous dúplex apartment in Gracia district,Spain,150,7
Cozy & central apartment in the heart of Barcelona,Spain,150,9
IDEAL APARTMENT SAGRADA FAMILIA,Spain,150,10
Amazing Duplex with Big Terrace *4BD,Spain,150,9
CHARMING APARTMENT in PLAÇA REIAL-HUTB (Phone number hidden by Airbnb),Spain,150,9
CENTRAL APARTMENT 1min to RAMBLAS,Spain,150,9
City centre loft with rooftop pool and terrace,Spain,150,9
Apartment in the heart of Barcelona,Spain,150,10
Exquisite apt. Open space and plently of light,Spain,150,10
Precioso Apartamento en Barcelona *Bcn* C02,Spain,150,9
Modern refurbished flat in Gracia,Spain,150,10
Deluxe 2 Bedroom Apartment in the Eixample District in lovely Barcelona!,Spain,149,8
Stylish apartment A in city center,Spain,145,10
Estudio / Terraza P4 (S. Família) mínimo 32 NOCHES,Spain,143,10
Modernist flat close to the Sagrada Familia,Spain,140,9
Eric Vökel Boutique Apartments - Sagrada Familia Suites - 2 Bedroom 2 Bathrooms Apartment,Spain,140,10
Lovely Penthouse in Barcelona,Spain,140,9
Remodeled penthouse in Gracia *Bcn*,Spain,140,9
Comfortable and Accesible For Groups (H1+H2),Spain,140,8
ENTIRE BUILDING in the City Center/Beach,Spain,135,9
Blackandwhitehome Poble Nou Attic I,Spain,135,9
PISO MODERNO EN EL EIXAMPLE,Spain,132,10
SEALONA CENTER III,Spain,130,10
Large two bedroom apartment,Spain,130,9
The Balcony Apartment,Spain,130,9
Spacious and quiet duplex apartment in Poble Sec,Spain,130,10
D3 - Centro Ciudad / Pº de Gracia,Spain,130,9
Las Ramblas Penthouse Apartment,Spain,130,10
Cute Eixample Apartment.  HUTB-005692,Spain,130,9
LAST CALL MWC - Bedroom w/ private wc and balcony,Spain,130,9
Beautiful apartment by Pl Catalunya,Spain,130,9
Smart Luxury KissMe 2BR balcony,Spain,129,9
Enchanted Gràcia Loft with a Patio,Spain,129,9
BCN Duplex Sagrada Familia,Spain,129,9
"Stylish, spacious, central, shared rooftop terrace",Spain,129,9
Cute apart with terrace Downtown !,Spain,128,9
Principito Apartment w/2 Ensuite Bathrooms,Spain,127,10
One bedroom apartment,Spain,125,10
QUIET AND COMFY 2BD WIFI GRACIA,Spain,125,7
Centric apart perfect familes 1.1,Spain,125,9
Beautiful Comfy Flat Valencia St A,Spain,125,9
Bright lovely apartment in Gracia with balcony,Spain,125,8
Barcelona Just Like Home - Green,Spain,120,9
Atic with great views,Spain,120,10
"Cozy seasonal apartment in  Eixample, city center.",Spain,120,9
Centre of Barcelona Room in penthouse with terrace,Spain,120,10
Modern & Cosy 3BD in Ramblas *Balcony,Spain,120,8
Loft 3,Spain,120,9
ROMANTIC Apartment WIFI in center,Spain,120,9
Big apartment by Barcelona's main train station,Spain,120,10
Nice and cozy apartment in Sagrada Familia.,Spain,120,10
"Minimalist Rooms in BCN, live it.",Spain,115,10
BRAND-NEW 1 BD APT SAGRADA FAMILIA 41,Spain,115,9
ABSOLUTE SAGRADA FAMILIA 2,Spain,115,10
Gorgeous flat 4bed 5min to tube in lovely Eixample,Spain,115,9
EIXAMPLE DELIGHT - Cozy & Bright Apartment,Spain,115,9
Stylish apartment in the heart of Gothic area,Spain,111,7
habitación privada plaza España 2,Spain,110,10
Awesome flat in the center (HUTB-014195),Spain,110,8
Studio located in the best part of the city,Spain,110,9
Excellent Duplex in Sarrià with Private Pool,Spain,110,9
Habitación para tres en Barcelona cerca  transport,Spain,110,9
Terrace and pool apartment near the Barcelona,Spain,110,9
Cozy Split Level Home with Exposed Brick Walls,Spain,110,9
Amazing Loft in BCN Center (B0132),Spain,108,10
Sagrada Familia Butterfly,Spain,108,9
Atico en Paseo de Gracia,Spain,106,8
Apt.cerca SagradaFamilia (4pax) SF2,Spain,105,8
Apartment For Rent Near Camp Nou,Spain,105,8
Gaudí - Sagrada Familia,Spain,105,9
Vila Olímpica Sant Martí - Sardenya,Spain,103,9
Nice apartment for design lovers. Great terrace.,Spain,101,10
Vintage apartment,Spain,100,9
Apartamento familiar a estrenar,Spain,100,9
Beautiful apartment in the center,Spain,100,10
villa maravilla,Spain,100,9
sunny flat,Spain,100,9
Charming room near Glories,Spain,100,9
"Bright 1 bedroom, Sagrada Familia, long term¦",Spain,100,9
Two rooms with great view sagrada familia,Spain,100,9
RAMBLAS 1,Spain,100,7
LetsgoBarcelona Diagonal Ave. Duplex,Spain,100,8
Bonito y cómodo loft en el centro,Spain,100,9
Romantic one bedroom apartment in Eixample,Spain,100,9
Elegant flat in romantic old city,Spain,100,9
"A place near to the RAmbla ,but in a quite street",Spain,100,9
Villa Romantika Doppel Zimmer Afrika,Spain,100,9
Comfort Luxury center apartment,Spain,100,9
2378 - AB Casa Farreras A - Amazing 1-bedroom Apartment with a Private Terrace,Spain,100,9
Studio with Terrace next to Rambla and Monjuic,Spain,100,9
Plaza España Apartment,Spain,100,8
Sunny Attic with Pool and Terrace near the Beach!,Spain,99,9
Elegant apartment Sagrada Familia,Spain,99,9
Beautiful Sagrada Familia apartment,Spain,99,9
"Luxury PRIVATE room on Gracia, 2min from everythng",Spain,99,9
Light Loft | Walk to the Beach | Free Parking,Spain,99,9
"Plaza Catalunya V, Friendly Rentals",Spain,99,9
Sunny apartment in Sagrada Familia,Spain,98,9
Lovely Apartment in the heart of Barcelona.,Spain,98,9
Orange tree View flat with patio,Spain,97,10
Cozy Apartment on Sortidor Square,Spain,96,9
Loft Miro,Spain,96,9
FANTASTIC APARTMENT SAGRADA FAMILIA,Spain,95,9
Apartment- Private livingroom-kitchen-bathroom,Spain,95,9
"ATICO CON LAS MEJORES VISTAS DE BARCELONA UNICO,",Spain,95,10
Beautiful Area Single Room,Spain,95,10
"Newly renovated studio, trendy borne area, terrace",Spain,95,9
Private Room in Renovated Library w/ Swimming Pool,Spain,95,10
New! Bright 2bed easily connected to the center,Spain,94,9
"CALABRIA, central, large, 4 bedrooms",Spain,92,9
Confortable apartment in BCN- WIFI,Spain,91,9
Alcam Colon 52 Apartment,Spain,91,9
Alcam Colón 42 Apartment,Spain,91,8
Sunny Born with Balcony,Spain,90,8
Habitación muy grande con vistas espectaculares.,Spain,90,10
Paseo de Gracia Apartment 4 3,Spain,90,9
1tnf SUPER GREAT LOCATION IN BARCELONA!!!,Spain,90,8
Art Gallery Apartment 2B,Spain,90,9
Modern Beachside Apartment with Balcony,Spain,90,10
Next to Barcelona Fair and Magic Fountain,Spain,90,9
Vibrant Flat with Rooftop Terrace and City Views,Spain,90,10
Sagrada Familia up to 6,Spain,90,9
"1 bedroom apartment + sofa bed, balcony.",Spain,90,9
Frida's Centric&Stylish Studio Apt.,Spain,89,9
BCN Duplex Mirò Monthly,Spain,89,9
Trendy apartment in BCN centre,Spain,89,9
"Yurbban Suite Terrace, Breakfast Included",Spain,89,9
"Beautiful Double interior room, Breakfast Included",Spain,89,10
Recién Re1 Apart delS.18 Núcleo Bcn,Spain,89,10
"Bright, Central Apartment with Traditional and Modern Design",Spain,88,10
Penthouse. Terrace.,Spain,87,9
Stylish Flat in BCN city center,Spain,85,9
New apartment near Sagrada Familia,Spain,85,10
MONTJUIC FOUNTAINS APARTMENT,Spain,85,9
"Glorias:Sagrada Familia 15minutes, Beach 20minutes",Spain,85,9
Batllo Apartment Barcelona,Spain,85,10
Park Guell apartment with terrace,Spain,85,8
LOVELY AND CENTRAL ROOM,Spain,85,9
Tucson Suites,Spain,85,9
Plaza Real Room,Spain,85,10
"Sunny and spacious loft, close to beach",Spain,85,10
Cozy 3bed/2bath w/balcony close to Sagrada Familia,Spain,85,7
New Holiday Master Suite with Balcony in Eixample,Spain,84,10
"Amazing NEW Food Lover Balcony, close to FIRA, MWC",Spain,84,9
BARCELONA FIRA FAMILY,Spain,83,9
Barcelona Super Central Apartment,Spain,82,10
pid MODERN 1 BED FLAT NEXT OLD TOWN,Spain,81,9
Romantic and quiet apartment with Air Conditioning,Spain,80,9
LOCATION! PVT Double BR w/Balcony across the BEACH,Spain,80,10
Well connected central modernist apartment,Spain,80,10
Perfect Location! Suite Room 1 min from La Rambla,Spain,80,8
Comfortable room in Pedralbes,Spain,80,9
SUNNY APARTMENT FIRA BARCELONA CAMP NOU,Spain,80,9
Plaza two bedroom apartment,Spain,80,9
On The Ramblas 4 Studio Apartment,Spain,80,8
RAMBLAS AREA NEAR THE BEACH!! L,Spain,80,9
Contemporary Loft near Plaza Cat.Sleeps 4- Coli 54,Spain,80,9
Piso 3 habitaciones con encanto en Fuente Mágica,Spain,80,9
Beautiful apartment in the city centre of BCN!!!,Spain,80,10
On The Ramblas 5 Studio Apartment,Spain,80,8
Family Duplex 2Adults+2Children Steps From Subway Station in BCN Center,Spain,80,9
WONDERFUL APARTMENT NEAR PASEO DE GRACIA,Spain,80,9
Poblenou Comfort por meses,Spain,80,9
GAUDI:50 m from the Sagrada Familia,Spain,80,9
2379 - AB Vila Olimpica - Icaria Apartment - Bright and modern apartment with amazing pool in Vila Olímpica,Spain,80,9
Habitación espaciosa y elegante con AC y baño,Spain,80,10
Room A4,Spain,79,9
Piso de lujo en Sagrada Familia,Spain,79,9
antiguo loft-barna,Spain,78,9
STUDIO AT THE PRICE OF A ROOM,Spain,78,8
Boqueria - Cosy studio in Born,Spain,76,10
"sf21 YES, VERY CLOSE TO LA SAGRADA FAMILIA AND ...",Spain,76,9
New and central apartment up to 4!,Spain,75,9
Beautiful room for three!!,Spain,75,9
Lovely 2bed/3bath in the heart of Eixample,Spain,75,9
Design apartment with amazing views,Spain,75,9
Lovely and Modern 3-Bed Apartment in Lesseps,Spain,75,9
"Room @Eixample, 8 minutes walk from Passeig Gràcia",Spain,75,9
Sunny penthouse with Parking,Spain,75,9
CAMP NOU MUNNE 2-2 APARTMENT,Spain,75,9
One-Bedroom Apartment with Balcony,Spain,75,8
Luxury Apartment Diagonal (very sunny),Spain,75,10
Barcelona Apartment Sarrià Pedralbes,Spain,75,9
MODERNIST AND LUXURIOUS FLAT IN IDYLLIC LOCATION,Spain,74,9
Luxury 2 bedroom apartment infront of the beach,Spain,72,9
Precioso Estudio en Barcelona *Bcn* C01,Spain,72,10
Eixample Dret València Cartagena,Spain,71,8
Acogedor loft en Barcelona,Spain,70,9
pb2 IDEAL LOCATION! WITH TERRACE CHARMING & QUIET!,Spain,70,9
Cosy Loft in the Heart of Borne,Spain,70,8
Hermoso Apartamento SPBP22388,Spain,70,9
Plaza Espanya,Spain,70,7
Cosy Double Room in a bright flat!,Spain,70,9
2541 - AB GRACIA SPACIOUS - Apartment for 4 with private terrace in Gràcia,Spain,70,9
SUNNY RAMBLAS 2,Spain,70,10
Habitacion N#5  con baño privado,Spain,69,9
"Modern & Quiet 2 bedroom house, patio&views!",Spain,69,9
Lovely en-suite bedroom in city center,Spain,69,9
Sagrada Familia-auditorium. FREE WI-FI.,Spain,69,9
Newly renovated apartment in Barcelona Eixample,Spain,69,9
Spacious double room with balcony,Spain,69,10
(inRAMBLAS) 1double room! Historic center,Spain,68,9
Open Wall.Gran Vía 2.Renov 2015,Spain,68,9
bonita y comoda habitacion en el piso céntrico,Spain,67,9
GOTHIC RAMBLAS 2 APARTMENT,Spain,67,8
Beautiful and bright flat in Born Barcelona,Spain,67,10
Mestral Mar Doble hab. 5-6,Spain,66,8
Habitacion Hermosa. Beautiful room in Barceloneta,Spain,65,10
1 or 2 rooms with private terrace in shared flat,Spain,65,10
Double room in Diagonal Mar.  Close to the beach.,Spain,65,9
Stunning vintage room with AC (old town),Spain,65,10
Double room only for pet lovers!,Spain,65,10
ELEGANT APARTMENT CLOSE TO RAMBLAS,Spain,65,9
THE MOST CENTRAL LOCATION OF THE City! PL1,Spain,65,7
"2641 - AB Premium Old Town E-2 - Modern, 2-bedroom Old Town apartment close to Las Ramblas and Plaça de Catalunya",Spain,63,9
5*Super host Apartment+terrace  8 min from Ramblas,Spain,63,10
"Dover 42, Friendly Rentals",Spain,62,8
AMAZING VIEWS PENTHOUSE PARK GUELL,Spain,61,8
Nice apartment in Plaça Reial for long stay,Spain,60,9
Lovely room in design apartment in Plaza España,Spain,60,10
Sagrada Familia Gaudi,Spain,60,9
SUNNY DELIGHT ❤ double bedroom + balcony,Spain,60,10
